TIME -> 0 = GOTO -> HITBOX_INIT, CREATE_ONTHESPOT:253-0-251


//// STATE ////

$ -> HITBOX_INIT = HITBOX -> 6, 0, 10, 16


//// FULL BASKET //// 

! -> BASKET_FULL = GOTO -> DISPLAY_FULL, TA_LAUNDRY
$ -> DISPLAY_FULL = GOTO -> DELETE_ONTHESPOT:1, CREATE_ONTHESPOT:253-0-250
$ -> TA_LAUNDRY = TRIPLE_ACTION -> DO_LAUNDRY_SHORT*DO_LAUNDRY


//// EMPTY BASKET //// 

! -> BASKET_EMPTY = GOTO -> ACTION_ONE:NULL, SOUND:CLOTHES, DELETE_ONTHESPOT:1, CREATE_ONTHESPOT:253-0-252


//// DO LAUNDRY //// 

$ -> DO_LAUNDRY = GOTO -> CUTSCENE:START, AFFECTING:TP_PLAYER_TO_BASKET, AFFECTING:WAITING_BEFORE_TAKING_CLOTHES
! -> WAITING_BEFORE_TAKING_CLOTHES = WAITFOR -> TIMER:1 ? AFFECTING:BASKET_EMPTY, WAITING_BEFORE_GOTO_MACHINE
$ -> WAITING_BEFORE_GOTO_MACHINE = WAITFOR -> TIMER:1 ? AFFECTING:MOVE_PLAYER_TO_MACHINE
! -> PLAYER_REACHED_MACHINE = GOTO -> SOUND:CLOTHES, WAITING_BEFORE_TURNING_ON 
$ -> WAITING_BEFORE_TURNING_ON  = WAITFOR -> TIMER:1 ? SOUND:WASHING_MACHINE, WAITING_BEFORE_TAKING_BACK_CLOTHES
$ -> WAITING_BEFORE_TAKING_BACK_CLOTHES = WAITFOR -> TIMER:4 ? SOUND:CLOTHES, WAITING_BEFORE_BRINGING_BACK_CLOTHES
$ -> WAITING_BEFORE_BRINGING_BACK_CLOTHES = WAITFOR -> TIMER:1 ? AFFECTING:MOVE_PLAYER_TO_DRESSER
! -> PLAYER_REACHED_DRESSER = GOTO -> SOUND:CLOTHES, CUTSCENE:STOP
